"","year","Avg.Temp","Avg.Tmax","Avg.Tmin","FD","SU","ID","TR","GSL","TXx","TNx","TXn","TNn","TX90p","TN90p","TX10p","TN10p","CSDI","WSDI","DTR","CoDD","HDD","Tot.Prcp","Rx1day","Rx5day","SDII","R10mm","R20mm","CDD","CWD","R95pTOT","R99pTOT"
"1",1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.82,3.65,4.35,0.46,41,9,16,9,11.08,3.65
"20",1869,46.35,57.64,35.06,161,69,27,3,193,93,74,9,-20,7.4,9.59,6.03,12.05,6,0,22.58,380,7186,43.74,5.98,7.4,0.52,42,13,18,4,14.75,5.98
"21",1870,48.72,61.66,35.79,156,110,32,10,226,100,78,17,-5,18.9,11.78,7.95,9.59,1,20,25.87,710,6652,34.89,1.9,3.8,0.49,36,13,20,5,6.2,0
"22",1871,45.57,57.68,33.39,160,69,42,3,242,95,72,2,-16,8.49,8.22,10.68,13.7,5,0,24.22,376,7450,39.92,1.75,3.25,0.5,38,19,21,5,13.06,0
"23",1872,47.12,58.33,35.96,158,88,45,20,219,98,76,2,-20,13.97,20,11.78,17.53,7,20,22.39,837,7328,45.56,2.17,2.87,0.44,53,14,22,8,3.47,2.17
"24",1873,44.59,56.15,33.04,178,63,51,14,198,93,73,11,-26,8.22,12.88,11.78,16.99,6,0,23.11,476,7925,36.58,1.4,3.2,0.38,36,11,19,4,5.1,0
"25",1874,46.36,57.37,35.25,159,65,38,4,194,93,73,11,-28,6.3,11.51,9.59,12.05,0,0,22.09,387,7152,36.99,2,3.06,0.42,40,13,29,4,4.5,0
"26",1875,43.9,55.42,32.39,165,74,55,11,193,90,74,-2,-34,9.59,12.33,14.25,18.9,21,3,23.03,545,8245,41.61,1.8,3.7,0.45,42,15,18,3,9.15,0
"27",1876,47.47,58.16,36.64,144,78,37,17,221,97,76,4,-20,14.25,18.08,9.59,13.97,2,19,21.49,768,7148,43.56,3,3.7,0.44,43,15,19,4,10.7,3
"28",1877,49.18,60.22,38.12,134,93,21,9,227,90,73,13,-29,7.95,20.27,5.75,10.14,5,0,22.1,640,6381,41.66,3.45,3.45,0.43,40,9,22,5,7.21,5.48
"29",1878,49.4,60.35,38.35,108,91,16,6,221,100,74,4,-35,8.49,14.25,4.38,9.04,0,4,21.98,560,6224,47.79,2.8,3.78,0.47,43,16,15,8,15.37,5.6
"30",1879,47.02,57.64,36.41,153,77,43,6,195,94,71,13,-10,9.59,13.15,10.96,13.15,2,2,21.22,522,7084,42.06,1.77,4.42,0.45,51,10,23,4,5.87,0
