"","year","Avg.Temp","Avg.Tmax","Avg.Tmin","FD","SU","ID","TR","GSL","TXx","TNx","TXn","TNn","TX90p","TN90p","TX10p","TN10p","CSDI","WSDI","DTR","CoDD","HDD","Tot.Prcp","Rx1day","Rx5day","SDII","R10mm","R20mm","CDD","CWD","R95pTOT","R99pTOT"
"1",1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1864,44.95,57.21,32.69,171,74,44,2,199,101,69,-3,-25,11.78,6.85,9.32,15.89,13,16,24.52,521,7859,28.35,3.5,4.02,0.4,18,9,19,4,15.2,7.85
"16",1865,44.78,56.17,33.39,170,60,45,2,197,91,70,12,-17,4.11,7.4,9.04,15.62,13,1,22.78,354,7733,29.9,2.17,2.47,0.41,26,10,27,2,8.66,2.17
"17",1866,43.02,54.25,31.79,174,46,65,2,219,92,69,9,-24,4.38,4.93,13.15,19.18,15,2,22.45,288,8310,39.48,2.61,2.75,0.4,40,12,14,3,11.32,2.61
"18",1867,44.1,57.11,31.09,179,85,53,3,213,96,72,12,-28,12.05,4.38,11.51,18.08,15,3,26.02,466,8094,24.54,1.6,2.24,0.37,23,9,18,4,3.83,0
"19",1868,42.05,56.07,28.02,206,78,59,1,176,101,69,12,-37,12.88,7.4,13.7,23.84,39,16,28.05,537,8937,27.12,1.88,1.98,0.41,25,9,15,3,6.53,3.73
"20",1869,42.45,55.56,29.34,207,78,41,0,180,92,66,19,-15,6.03,2.47,7.12,18.63,14,0,26.22,280,8510,32.11,2,3.24,0.55,29,13,20,2,13.86,2
"21",1870,45.7,59.7,31.7,178,106,46,0,217,99,65,3,-22,15.62,6.3,7.4,18.63,17,16,28,550,7594,38.46,4,4.26,0.57,29,17,21,3,17.67,12.15
"22",1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25,2.52,2.52,0.44,23,9,25,2,13.8,4.52
"23",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.44,2.78,2.93,0.42,22,9,26,3,10.16,2.78
"24",1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.97,2.21,2.46,0.37,29,10,15,4,10.67,3.99
"25",1874,45.95,58.66,33.23,184,106,49,2,195,101,70,11,-9,16.71,6.85,10.14,13.7,1,12,25.43,634,7590,22.97,1.62,3.41,0.36,22,9,16,4,2.72,0
"26",1875,41.92,54.54,29.3,183,90,69,1,188,94,69,3,-33,11.78,5.21,17.26,23.84,37,2,25.24,420,8845,30.47,3.15,3.4,0.4,24,7,18,3,9.45,5.15
"27",1876,45.76,56.78,34.74,156,88,54,7,226,96,72,6,-19,14.25,13.15,12.33,16.16,13,6,22.04,696,7738,30.54,3.25,3.78,0.37,25,10,21,5,7.41,3.25
"28",1877,46.68,58.16,35.19,157,97,36,0,208,93,68,12,-14,12.6,6.03,8.49,14.79,26,9,22.97,514,7202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1878,47.39,57.72,37.06,140,80,39,2,235,98,76,6,-7,10.14,9.59,9.04,9.86,7,5,20.67,562,6990,31.99,2.51,3.55,0.4,26,11,13,3,10.25,4.68
"30",1879,45.9,57.63,34.18,164,100,64,2,195,97,70,8,-18,16.44,8.49,14.25,14.52,13,5,23.45,634,7605,26.69,2.18,2.65,0.34,22,6,19,6,6.07,2.18
