"","year","Avg.Temp","Avg.Tmax","Avg.Tmin","FD","SU","ID","TR","GSL","TXx","TNx","TXn","TNn","TX90p","TN90p","TX10p","TN10p","CSDI","WSDI","DTR","CoDD","HDD","Tot.Prcp","Rx1day","Rx5day","SDII","R10mm","R20mm","CDD","CWD","R95pTOT","R99pTOT"
"1",1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1869,51.65,57.12,46.29,76,51,12,36,207,95,78,25,4,1.64,9.86,10.14,8.22,0,0,10.92,743,5494,45.25,2.6,3.91,0.46,42,17,24,4,9.58,2.6
"21",1870,53.76,60.39,47.13,84,85,21,44,264,94,82,17,10,9.86,12.05,12.6,9.59,6,1,13.27,1088,5191,39.25,1.91,2.61,0.42,36,21,22,5,5.09,0
"22",1871,51.4,58.95,43.86,86,70,31,28,264,92,74,9,-2,5.21,7.67,13.15,14.25,4,2,15.09,766,5728,51.38,2.7,5.16,0.45,43,18,14,8,12.81,2.7
"23",1872,51.37,58.91,43.83,111,88,34,50,225,96,78,10,3,13.15,13.7,16.71,19.73,15,14,15.08,1144,6133,43.99,2.91,4.26,0.45,35,16,14,6,11.77,2.91
"24",1873,50.91,58.19,43.63,101,77,26,31,230,94,76,12,-1,7.12,8.49,14.25,14.79,14,0,14.57,852,5995,47.99,4.8,5.59,0.44,38,16,16,6,10.12,4.8
"25",1874,51.36,59.02,43.7,96,78,22,21,234,98,73,16,3,5.75,5.75,12.6,14.25,5,0,15.32,775,5754,45.83,3.28,7.57,0.51,34,17,29,6,15.06,9.35
"26",1875,49.53,56.56,42.5,108,76,44,32,219,93,76,10,-3,2.74,8.77,17.26,18.63,21,0,14.06,850,6497,40.67,2.63,3.28,0.37,34,12,17,6,7.92,2.63
"27",1876,52,58.75,45.25,94,83,33,53,229,98,81,15,3,10.41,14.52,14.52,14.79,11,10,13.5,1120,5878,41.77,4.25,6.1,0.45,26,13,18,4,16.24,7.62
"28",1877,52.87,59.66,46.08,77,87,21,40,238,92,73,18,10,6.03,10.96,10.41,10.14,9,0,13.58,985,5412,40.18,4.05,4.26,0.44,36,13,26,4,8.83,6.96
"29",1878,53.73,60.36,47.11,71,77,20,44,244,94,81,17,7,7.12,12.05,11.23,10.96,13,4,13.24,1012,5124,48.66,3.31,4.01,0.52,40,17,13,4,17.94,6.16
"30",1879,52.3,59.54,45.07,99,73,29,30,238,98,76,7,-4,5.75,8.22,14.79,14.79,6,0,14.48,882,5516,39.03,3.95,5.38,0.39,35,15,20,5,3.95,3.95
