"","Name","P.name","ID","State","State.ID","Lat","Lon","Stn.name","Stn.stDate","Stn.edDate"
"1","Montgomery","Montgomery","USW00013895","Alabama","AL",32.2997,-86.4075,"MONTGOMERY WB CITY","1873-01-01","1947-12-31"
"2","Montgomery","Montgomery","USW00013895","Alabama","AL",32.2997,-86.4075,"MONTGOMERY DANNELLY FIELD","1948-01-01","2021-12-31"
"3","Mobile","Mobile","USW00013838","Alabama","AL",30.6264,-88.0681,"MOBILE WB CITY","1871-01-01","1947-12-31"
"4","Mobile","Mobile","USW00013838","Alabama","AL",30.6264,-88.0681,"MOBILE REGIONAL AP","1948-01-01","2021-12-31"
"5","Phoenix","Phoenix","USW00023183","Arizona","AZ",33.4278,-112.0039,"PHOENIX CITY","1896-01-01","1953-09-30"
"6","Phoenix","Phoenix","USW00023183","Arizona","AZ",33.4278,-112.0039,"PHOENIX SKY HARBOR INTL AP","1953-10-01","2021-12-31"
"7","Flagstaff","Flagstaff","USW00003103","Arizona","AZ",35.1442,-111.6664,"FLAGSTAFF WB CITY","1899-01-01","1950-01-11"
"8","Flagstaff","Flagstaff","USW00003103","Arizona","AZ",35.1442,-111.6664,"FLAGSTAFF PULLIAM ARPT","1950-01-12","2021-12-31"
"9","FortSmith","Fort Smith","USW00013964","Arkansas","AR",35.3331,-94.3625,"FORT SMITH","1883-01-01","1945-09-26"
"10","FortSmith","Fort Smith","USW00013964","Arkansas","AR",35.3331,-94.3625,"FORT SMITH REGIONAL AP","1945-09-27","2021-12-31"
"11","Sacramento","Sacramento","USW00023271","California","CA",38.5553,-121.4183,"SACRAMENTO 5 ESE","1878-01-01","2021-12-31"
"12","LosAngeles","LosAngeles","USW00093134","California","CA",34.0511,-118.2353,"LOS ANGELES DOWNTOWN USC CAMPU","1878-01-01","2021-12-31"
"13","Fresno","Fresno","USW00093193","California","CA",36.78,-119.7194,"FRESNO CITY OFFICES","1882-01-01","1939-06-30"
"14","Fresno","Fresno","USW00093193","California","CA",36.78,-119.7194,"FRESNO CHANDLER FIELD","1939-07-01","1949-08-20"
